timestamp_utc,event_id,ssid,bssid,interface_guid,connection_mode,reason,raw_fields,location_name,city,state,latitude,longitude
2024-12-09 10:00:44.205873200+00:00,8000,OCnet,Unknown,{7ba64ca2-8a92-4569-ab73-35c24616e834},Automatic connection with a profile,,"{'InterfaceGuid': '{7ba64ca2-8a92-4569-ab73-35c24616e834}', 'InterfaceDescription': 'Intel(R) Wi-Fi 6 AX201 160MHz', 'ConnectionMode': 'Automatic connection with a profile', 'ProfileName': 'OCnet', 'SSID': 'OCnet', 'BSSType': 'Infrastructure', 'ConnectionId': '0xf'}",,,,,
2024-12-09 23:23:32.053962900+00:00,11000,OCnet,Unknown,,,,"{'Adapter': 'Intel(R) Wi-Fi 6 AX201 160MHz', 'DeviceGuid': '{7ba64ca2-8a92-4569-ab73-35c24616e834}', 'LocalMac': '10:3D:1C:DE:53:0F', 'SSID': 'OCnet', 'BSSType': 'Infrastructure', 'Auth': 'WPA2-Enterprise', 'Cipher': 'AES-CCMP', 'OnexEnabled': '1', 'IhvConnectivitySetting': None, 'ConnectionId': '0xf'}",,,,,
2024-12-09 23:23:34.923658200+00:00,11001,OCnet,Unknown,,,,"{'Adapter': 'Intel(R) Wi-Fi 6 AX201 160MHz', 'DeviceGuid': '{7ba64ca2-8a92-4569-ab73-35c24616e834}', 'LocalMac': '10:3D:1C:DE:53:0F', 'SSID': 'OCnet', 'BSSType': 'Infrastructure', 'ConnectionId': '0xf00000000', 'MgmtFrameProtection': 'false'}",,,,,
2024-12-09 23:23:34.923750800+00:00,11010,OCnet,Unknown,,,,"{'Adapter': 'Intel(R) Wi-Fi 6 AX201 160MHz', 'DeviceGuid': '{7ba64ca2-8a92-4569-ab73-35c24616e834}', 'LocalMac': '10:3D:1C:DE:53:0F', 'SSID': 'OCnet', 'BSSType': 'Infrastructure', 'Auth': 'WPA2-Enterprise', 'AuthVal': '6', 'Cipher': 'AES-CCMP', 'CipherVal': '4', 'FIPSMode': '0', 'OnexEnabled': '1', 'ConnectionId': '0xf'}",,,,,
2024-12-09 23:23:34.939672400+00:00,12011,OCnet,Unknown,,,,"{'Adapter': 'Intel(R) Wi-Fi 6 AX201 160MHz', 'DeviceGuid': '{7ba64ca2-8a92-4569-ab73-35c24616e834}', 'LocalMac': '10:3D:1C:DE:53:0F', 'SSID': 'OCnet', 'BSSType': 'Infrastructure', 'EapType': '25', 'VendorID': '0', 'VendorType': '0', 'AuthorID': '0', 'ConnectionId': '0xf'}",,,,,
2024-12-09 23:23:36.042994200+00:00,12012,OCnet,Unknown,,,,"{'Adapter': 'Intel(R) Wi-Fi 6 AX201 160MHz', 'DeviceGuid': '{7ba64ca2-8a92-4569-ab73-35c24616e834}', 'LocalMac': '10:3D:1C:DE:53:0F', 'SSID': 'OCnet', 'BSSType': 'Infrastructure', 'Identity': 'm.jones', 'User': 'maxjj', 'Domain': 'DESKTOP-8IO7BFI', 'ConnectionId': '0xf', 'ExplicitCredentials': 'false'}",,,,,
2024-12-09 23:23:36.103531300+00:00,11005,OCnet,Unknown,,,,"{'Adapter': 'Intel(R) Wi-Fi 6 AX201 160MHz', 'DeviceGuid': '{7ba64ca2-8a92-4569-ab73-35c24616e834}', 'LocalMac': '10:3D:1C:DE:53:0F', 'SSID': 'OCnet', 'BSSType': 'Infrastructure', 'ConnectionId': '0xf'}",,,,,
2024-12-09 23:23:36.106469900+00:00,8001,OCnet,Unknown,{7ba64ca2-8a92-4569-ab73-35c24616e834},Automatic connection with a profile,,"{'InterfaceGuid': '{7ba64ca2-8a92-4569-ab73-35c24616e834}', 'InterfaceDescription': 'Intel(R) Wi-Fi 6 AX201 160MHz', 'ConnectionMode': 'Automatic connection with a profile', 'ProfileName': 'OCnet', 'SSID': 'OCnet', 'BSSType': 'Infrastructure', 'PHYType': '802.11n', 'AuthenticationAlgorithm': 'WPA2-Enterprise', 'CipherAlgorithm': 'AES-CCMP', 'OnexEnabled': '1', 'ConnectionId': '0xf', 'NonBroadcast': 'false'}",,,,,
2024-12-09 23:23:36.626558200+00:00,11004,OCnet,Unknown,,,,"{'Adapter': 'Intel(R) Wi-Fi 6 AX201 160MHz', 'DeviceGuid': '{7ba64ca2-8a92-4569-ab73-35c24616e834}', 'LocalMac': '10:3D:1C:DE:53:0F', 'SSID': 'OCnet', 'BSSType': 'Infrastructure', 'SecurityHint': 'The operation was successful.', 'SecurityHintCode': '0', 'ConnectionId': '0xf'}",,,,,
2024-12-09 23:23:36.629161900+00:00,8003,OCnet,Unknown,{7ba64ca2-8a92-4569-ab73-35c24616e834},Automatic connection with a profile,The network is disconnected due to a policy disabling auto connect on this interface.,"{'InterfaceGuid': '{7ba64ca2-8a92-4569-ab73-35c24616e834}', 'InterfaceDescription': 'Intel(R) Wi-Fi 6 AX201 160MHz', 'ConnectionMode': 'Automatic connection with a profile', 'ProfileName': 'OCnet', 'SSID': 'OCnet', 'BSSType': 'Infrastructure', 'Reason': 'The network is disconnected due to a policy disabling auto connect on this interface.', 'ConnectionId': '0xf', 'ReasonCode': '5'}",,,,,
